country,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,-281739.0,-90238.0,-47090.0,-47205.0,-8082.0,166821.0,-183672.0,-65846.0,-65846.0
Albania,-12240.0,-10887.0,-9768.0,-9106.0,-8889.0,-9117.0,-10612.0,-8000.0,-8000.0
Algeria,-36371.0,-36227.0,-36448.0,-36227.0,-36386.0,-18797.0,-18797.0,-9999.0,-9999.0
Angola,74170.0,91623.0,77733.0,61632.0,,,,,
Argentina,5522.0,5215.0,4926.0,4690.0,4478.0,2344.0,2344.0,3886.0,3718.0
Armenia,-27283.0,-26804.0,-26326.0,-25835.0,-25363.0,-12825.0,-12825.0,-5000.0,-5000.0
Australia,209466.0,242184.0,244875.0,220307.0,235860.0,117929.0,117929.0,139991.0,139991.0
Austria,115125.0,66282.0,45573.0,35404.0,41105.0,20314.0,20314.0,19999.0,19999.0
Azerbaijan,1084.0,1484.0,1184.0,1583.0,392.0,1084.0,1084.0,0.0,
Bahrain,29250.0,29052.0,29024.0,-3601.0,-17127.0,-48716.0,-9150.0,0.0,0.0
Bangladesh,-286512.0,-55013.0,-175755.0,-323380.0,-344054.0,-61154.0,-174500.0,-309977.0,-309977.0
Belarus,13681.0,15258.0,15937.0,15731.0,15082.0,13589.0,12961.0,30308.0,
Belgium,57008.0,56781.0,56248.0,55439.0,54395.0,53428.0,52356.0,23999.0,23999.0
Belize,,1283.0,1222.0,1185.0,,,,,
Benin,3366.0,3827.0,3716.0,3368.0,3363.0,1732.0,1732.0,-200.0,-200.0
Bhutan,-1171.0,-521.0,291.0,291.0,291.0,,,,
Bosnia and Herzegovina,-33976.0,-32195.0,-30669.0,-29154.0,-27848.0,-26857.0,-25865.0,-500.0,-500.0
Botswana,2145.0,3129.0,3761.0,3819.0,2933.0,1816.0,1816.0,3000.0,3000.0
Brazil,4764.0,82589.0,56362.0,67934.0,69186.0,56880.0,20376.0,6425.0,6000.0
Bulgaria,-15356.0,-14947.0,-13560.0,-12115.0,-11439.0,-9902.0,-8716.0,-4800.0,-4800.0
Burkina Faso,-19754.0,-7603.0,-14801.0,-23971.0,-25277.0,-5665.0,-13097.0,-24998.0,-24998.0
Burundi,-236447.0,-109490.0,-68450.0,68145.0,14241.0,-10186.0,-14415.0,,
Cambodia,-52272.0,-40577.0,-45720.0,-51685.0,-55607.0,-22308.0,-24262.0,-29998.0,-29998.0
Cameroon,42007.0,13251.0,-37910.0,-9185.0,-12254.0,-9889.0,-9889.0,-4800.0,-4800.0
Canada,232738.0,320494.0,361274.0,417974.0,391914.0,195181.0,195181.0,248586.0,249746.0
Central African Republic,-63213.0,,-58734.0,-53083.0,-36942.0,-24803.0,,,
Chad,-48918.0,21546.0,16916.0,46664.0,-9469.0,9016.0,9016.0,-2000.0,-2000.0
Chile,55709.0,126525.0,214697.0,237358.0,230162.0,98439.0,113709.0,-66850.0,-71205.0
China,-155379.0,-153054.0,-180592.0,-296674.0,-302609.0,-33649.0,-200194.0,-311380.0,-310220.0
Colombia,-41064.0,79978.0,415618.0,494364.0,395803.0,229437.0,211978.0,-167924.0,-175051.0
Comoros,-1349.0,-1136.0,,,-2917.0,-1772.0,-1772.0,-2000.0,-2000.0
Costa Rica,4065.0,4150.0,4196.0,4198.0,4154.0,2084.0,2084.0,3850.0,3750.0
Croatia,-13408.0,-13569.0,-13654.0,-13171.0,-12480.0,-11592.0,-10402.0,-2000.0,-2000.0
Cyprus,4655.0,4878.0,5014.0,4977.0,4948.0,2999.0,1995.0,5000.0,5000.0
Czechia,,,,,,,,22011.0,22011.0
Denmark,22368.0,22859.0,23188.0,23337.0,23305.0,23076.0,22746.0,19999.0,19999.0
Djibouti,1723.0,,,,,,,,
Dominican Republic,-30310.0,-30181.0,-30055.0,-29944.0,-29830.0,-14966.0,-14966.0,-29294.0,-29099.0
Ecuador,14740.0,27063.0,49359.0,153372.0,71801.0,35894.0,35894.0,-20206.0,-21525.0
El Salvador,-51282.0,-47499.0,-50616.0,-54158.0,-55143.0,-25214.0,-27343.0,-23249.0,-23249.0
Estonia,4308.0,1164.0,5329.0,7229.0,5410.0,2995.0,2995.0,-1000.0,-1000.0
Eswatini,,,,,,,,-5733.0,
Ethiopia,62784.0,115812.0,71769.0,9309.0,-10803.0,38867.0,-1391.0,-11999.0,-11999.0
Finland,12433.0,17210.0,13307.0,11646.0,15558.0,17482.0,14928.0,13999.0,13999.0
France,18807.0,14729.0,13175.0,14391.0,17403.0,18335.0,20614.0,66601.0,67761.0
Gabon,12041.0,7395.0,4019.0,2893.0,2230.0,1514.0,1516.0,1000.0,1000.0
Georgia,-13317.0,-10591.0,-7886.0,-5174.0,-5414.0,-2734.0,-2734.0,-9999.0,-9999.0
Germany,397921.0,432017.0,430803.0,392587.0,360560.0,334055.0,312735.0,154592.0,155751.0
Ghana,-13308.0,7014.0,-4914.0,-19374.0,-21860.0,-297.0,-11253.0,-9999.0,-9999.0
Greece,-29315.0,-27234.0,-25061.0,-23600.0,-21581.0,-17853.0,-14806.0,5000.0,5000.0
Guatemala,-48162.0,-39266.0,-48049.0,-56884.0,-58095.0,-23142.0,-29118.0,-9128.0,-9110.0
Guinea,-15127.0,-14196.0,-13726.0,-9195.0,-3243.0,-4364.0,-4367.0,-4000.0,-4000.0
Haiti,-32698.0,-33902.0,-34766.0,-35007.0,-34635.0,-33872.0,-32977.0,,
Honduras,-6512.0,-6685.0,-6782.0,-6768.0,-6550.0,-6199.0,-5779.0,-5374.0,-5034.0
Hungary,14166.0,-982.0,18044.0,31976.0,33559.0,9042.0,19870.0,616038.0,-156677.0
Iceland,1477.0,4113.0,8316.0,6611.0,5152.0,2573.0,622.0,380.0,380.0
India,-475094.0,68119.0,-219656.0,-561563.0,-593495.0,-34772.0,-301970.0,-487303.0,-486136.0
Indonesia,-37991.0,-38653.0,-39282.0,-39878.0,-40567.0,-24999.0,-14992.0,-49997.0,-49997.0
Iraq,-19490.0,-75580.0,-9899.0,6660.0,-29880.0,71539.0,-60097.0,-6000.0,-6000.0
Ireland,13130.0,18978.0,29200.0,33647.0,29113.0,15320.0,15320.0,9999.0,9999.0
Israel,12049.0,13263.0,14518.0,15615.0,16132.0,16569.0,16856.0,9999.0,9999.0
Italy,34031.0,49591.0,70475.0,75863.0,21615.0,28021.0,28021.0,58496.0,58496.0
Jamaica,-11329.0,-11329.0,-11329.0,-11329.0,-11329.0,0.0,-5664.0,-10999.0,-10999.0
Japan,150215.0,156993.0,164070.0,177470.0,183953.0,87584.0,87584.0,99994.0,99994.0
Jordan,490844.0,49192.0,41956.0,33554.0,28963.0,18092.0,14374.0,-141192.0,-157392.0
Kazakhstan,-12253.0,-7445.0,-15903.0,-31760.0,-37080.0,-12432.0,-18917.0,0.0,0.0
Kenya,-95981.0,-29727.0,-68704.0,-115434.0,-61946.0,-17106.0,-52549.0,-10000.0,-10000.0
Kuwait,259114.0,-90785.0,140685.0,144967.0,9088.0,-254177.0,-36843.0,11999.0,
Latvia,-11163.0,-10340.0,-9498.0,-8632.0,-7903.0,-7381.0,-6815.0,-8466.0,-7630.0
Lebanon,-223722.0,-228173.0,-230947.0,-233520.0,-237572.0,-115146.0,-115122.0,-160237.0,-177331.0
Lesotho,-4129.0,,-3327.0,-3234.0,-2989.0,-1490.0,-1490.0,-4000.0,
Liberia,-15195.0,-26822.0,-24830.0,-23226.0,-19697.0,-10119.0,-11862.0,-5000.0,-5000.0
Libya,-7660.0,-5081.0,9208.0,5835.0,-1352.0,-696.0,-696.0,-2000.0,
Lithuania,-18912.0,-17334.0,-15937.0,-14451.0,-13398.0,-12625.0,-11853.0,-15192.0,-13128.0
Luxembourg,11373.0,12535.0,9563.0,10096.0,10365.0,6952.0,6949.0,5222.0,4883.0
Madagascar,485.0,485.0,485.0,485.0,-1487.0,-742.0,-742.0,-1500.0,-1500.0
Malawi,-6449.0,-5498.0,-4795.0,-3706.0,-2228.0,-1775.0,-1775.0,-6000.0,-6000.0
Malaysia,80603.0,97737.0,78257.0,60604.0,60824.0,57483.0,46165.0,48997.0,48997.0
Maldives,,,,,,1134.0,1189.0,,
Mali,-48947.0,-30294.0,-33995.0,-40761.0,-44428.0,-14978.0,-22236.0,-39998.0,-39998.0
Malta,9443.0,10239.0,10836.0,11180.0,11247.0,10854.0,10408.0,850.0,850.0
Mauritania,-3018.0,-3009.0,-3001.0,-2987.0,-3018.0,-1494.0,-1494.0,3000.0,3000.0
Mauritius,-2747.0,-2558.0,-2381.0,-2209.0,-1034.0,-478.0,-478.0,0.0,0.0
Mexico,-82173.0,33094.0,-12438.0,-99430.0,-47764.0,-9949.0,-52649.0,-51399.0,-50239.0
Mongolia,3932.0,7470.0,10802.0,11426.0,10664.0,0.0,0.0,-850.0,-850.0
Montenegro,-1943.0,-2111.0,-1980.0,-2024.0,-1636.0,-1326.0,-101.0,-480.0,-480.0
Morocco,-81202.0,-57256.0,-71807.0,-89007.0,-91959.0,-33807.0,-46242.0,-39998.0,-39998.0
Mozambique,30414.0,,14804.0,-12765.0,-17639.0,11745.0,-9515.0,-5000.0,-5000.0
Myanmar,-94128.0,-87935.0,-105438.0,-114634.0,-100810.0,-66228.0,-35382.0,-34998.0,-34998.0
Namibia,,-8596.0,-8597.0,-8596.0,-8596.0,-4301.0,-4301.0,-4061.0,-3916.0
Nepal,-221059.0,-98016.0,-78062.0,-81130.0,-70597.0,306664.0,296541.0,-62012.0,-62012.0
Netherlands,57677.0,59528.0,60585.0,60758.0,60266.0,58816.0,57439.0,29998.0,29998.0
New Zealand,47165.0,50012.0,48815.0,80419.0,103392.0,38220.0,38220.0,12999.0,12999.0
Nicaragua,-24359.0,-23081.0,-21841.0,-20739.0,-19733.0,-10384.0,-10384.0,-8000.0,-8000.0
Niger,17051.0,14833.0,-6827.0,-3816.0,-15787.0,-4403.0,-4405.0,1000.0,1000.0
Nigeria,-145917.0,-54315.0,15016.0,-81384.0,-103989.0,-4824.0,-76364.0,-59996.0,-59996.0
North Macedonia,-1378.0,-1164.0,-1018.0,-1000.0,-987.0,-486.0,-486.0,-1000.0,-1000.0
Norway,30329.0,26425.0,21584.0,18388.0,25564.0,10756.0,10604.0,27998.0,27998.0
Oman,134260.0,,,,,,,,
Pakistan,-2172159.0,-2290411.0,-1574581.0,-1309609.0,-1177218.0,-588736.0,-471395.0,-165988.0,-165988.0
Panama,8648.0,10109.0,11059.0,11130.0,10623.0,5473.0,5473.0,7967.0,7262.0
Paraguay,-16833.0,-16734.0,-16628.0,-16470.0,-16270.0,-8230.0,-8230.0,-12499.0,-12499.0
Peru,2462.0,80725.0,104242.0,326831.0,136558.0,79456.0,68012.0,-60652.0,-61442.0
Philippines,6954.0,79051.0,36111.0,-15371.0,-24066.0,-41937.0,-80125.0,-69996.0,-69996.0
Poland,-25426.0,-1967.0,-1983.0,-8736.0,-2974.0,-779.0,-2968.0,3366387.0,-910475.0
Portugal,-10124.0,-8128.0,5244.0,10177.0,43656.0,40535.0,27295.0,9999.0,9999.0
Puerto Rico,,-65824.0,,,,,,,
Qatar,178133.0,138455.0,46900.0,11662.0,15493.0,,,,
Romania,-49612.0,-64002.0,-58735.0,-57865.0,-25453.0,-12724.0,-12724.0,916813.0,-254616.0
Rwanda,-14477.0,-2605.0,-5169.0,-10794.0,-11823.0,-1579.0,-6112.0,-8999.0,
Saudi Arabia,60337.0,171429.0,282947.0,253245.0,241172.0,-1025295.0,-153883.0,28998.0,28998.0
Senegal,-31006.0,-24720.0,-20576.0,-19973.0,-19973.0,-10090.0,-10091.0,-19999.0,-19999.0
Serbia,7368.0,5901.0,4465.0,3346.0,489.0,243.0,243.0,-9999.0,-9999.0
Sierra Leone,-356.0,4657.0,1234.0,-2741.0,-2238.0,1292.0,-1544.0,-4000.0,-4000.0
Singapore,40958.0,36498.0,35449.0,35726.0,40624.0,21324.0,19321.0,26998.0,26998.0
Slovenia,7934.0,7684.0,7460.0,7559.0,7427.0,7681.0,4568.0,2000.0,2000.0
Somalia,,124017.0,38067.0,40844.0,48055.0,,,,
South Africa,644996.0,-866101.0,-10681.0,27265.0,22728.0,30852.0,10934.0,58496.0,58496.0
South Sudan,,-655870.0,-672697.0,-297041.0,2048.0,-74415.0,,,
Spain,-871.0,89021.0,167475.0,339064.0,458942.0,208791.0,275022.0,39998.0,39998.0
Sri Lanka,-98598.0,-98896.0,-98598.0,-97100.0,-94897.0,-92400.0,-92400.0,-77495.0,-77495.0
Sudan,49080.0,97646.0,189497.0,74198.0,,,,,
Suriname,-976.0,-910.0,,,,,,,
Sweden,77987.0,79667.0,80765.0,81492.0,81585.0,81066.0,80097.0,39998.0,39998.0
Switzerland,71488.0,70637.0,45208.0,40899.0,43546.0,53786.0,23872.0,39998.0,39998.0
Tajikistan,-18984.0,-16029.0,-13082.0,-10135.0,-7192.0,-3564.0,-3564.0,-19999.0,-19999.0
Thailand,32595.0,76693.0,44063.0,9304.0,3758.0,35526.0,1133.0,18999.0,18999.0
Togo,-1985.0,-1988.0,-1997.0,-1997.0,-1997.0,-995.0,-995.0,-2000.0,-2000.0
Trinidad and Tobago,-583.0,-103.0,1446.0,35502.0,-19248.0,2370.0,,,
Tunisia,-25230.0,-23826.0,-22368.0,-21013.0,-19609.0,-9189.0,-9189.0,-4000.0,-4000.0
Turkmenistan,-9612.0,-9616.0,-9616.0,-9614.0,-9612.0,-4502.0,-4503.0,-4000.0,
Uganda,-62377.0,123381.0,92876.0,60723.0,107203.0,43465.0,43465.0,-118846.0,-126181.0
Ukraine,-21937.0,-54333.0,-50447.0,-33273.0,-7812.0,-2173.0,831.0,-6673580.0,1784718.0
United Arab Emirates,-14154.0,-13520.0,-12895.0,-8582.0,-4466.0,-2762.0,-2762.0,0.0,0.0
United Kingdom,254218.0,246940.0,239014.0,230577.0,221179.0,211063.0,202027.0,165790.0,165790.0
United States,1221849.0,1449371.0,1377630.0,1200796.0,1158444.0,675560.0,561580.0,998540.0,999700.0
Uruguay,-4156.0,-3506.0,-3090.0,-2963.0,-2902.0,-1486.0,-1486.0,-1500.0,-1500.0
Uzbekistan,-20380.0,-35209.0,-48561.0,-60066.0,-69397.0,-39203.0,-39201.0,-19999.0,-19999.0
Vietnam,-4761.0,-4432.0,-3847.0,-3080.0,-4028.0,-2016.0,-992.0,-82700.0,-82700.0
Zambia,16283.0,17285.0,20268.0,18019.0,18019.0,9015.0,9015.0,-5000.0,-5000.0
Zimbabwe,-59918.0,-59918.0,-59918.0,-59918.0,-59918.0,-29955.0,-25005.0,-9999.0,-9999.0
